State,City,Zipcode,Store Number,URL,mintemp_f,maxtemp_f,avgtemp_f,totalprecip_in,avghumidity,condition,icon,DMA
Florida,Orlando Se,32822,6869,https://www.homedepot.com/l/Orlando-Se/FL/Orlando/32822/6869,79.2,94.6,89.4,0.02,61.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Oviedo,32765,287,https://www.homedepot.com/l/Oviedo/FL/Oviedo/32765/287,77.7,93.7,88.3,0.03,65.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Pace,32571,6368,https://www.homedepot.com/l/Pace/FL/Pace/32571/6368,77.2,91.9,87.4,0.06,68.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,SE
Florida,Palatka,32177,8531,https://www.homedepot.com/l/Palatka/FL/Palatka/32177/8531,75.4,94.1,88.3,0.06,67.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Palm Bay,32907,6336,https://www.homedepot.com/l/Palm-Bay/FL/Palm-Bay/32907/6336,79.9,85.1,83.7,0.16,78.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,SE
Florida,Palm Coast,32137,6363,https://www.homedepot.com/l/Palm-Coast/FL/Palm-Coast/32137/6363,77.5,87.6,84.9,0.08,70.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,SE
Florida,Palm Harbor,33761,247,https://www.homedepot.com/l/Palm-Harbor/FL/Clearwater/33761/247,81.3,90.9,86.9,0.09,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Panama City,32405,6303,https://www.homedepot.com/l/Panama-City/FL/Panama-City/32405/6303,79.5,92.8,87.7,0.03,67.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Panama City Beach,32407,8446,https://www.homedepot.com/l/Panama-City-Beach/FL/Panama-City/32407/8446,80.2,87.6,85.2,0.06,72.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Pembroke Pines (r0259),33026,6852,https://www.homedepot.com/l/Pembroke-Pines-r0259/FL/Pembroke-Pines/33026/6852,84.7,91.2,88.9,0.0,60.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Pensacola,32503,6853,https://www.homedepot.com/l/Pensacola/FL/Pensacola/32503/6853,79.3,89.6,86.5,0.09,68.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Pensacola West,32506,6932,https://www.homedepot.com/l/Pensacola-West/FL/Pensacola/32506/6932,79.7,90.0,86.5,0.25,69.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Pinellas Park,33781,289,https://www.homedepot.com/l/Pinellas-Park/FL/Pinellas-Park/33781/289,82.2,91.2,87.5,0.13,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Poinciana,34758,6851,https://www.homedepot.com/l/Poinciana/FL/Kissimmee/34758/6851,76.5,92.5,87.2,0.03,70.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Pompano Beach,33064,208,https://www.homedepot.com/l/Pompano-Beach/FL/Pompano-Beach/33064/208,84.2,88.5,87.0,0.01,66.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Port Charlotte,33948,201,https://www.homedepot.com/l/Port-Charlotte/FL/Port-Charlotte/33948/201,76.1,91.9,86.4,0.18,70.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,SE
Florida,Port Orange,32127,6335,https://www.homedepot.com/l/Port-Orange/FL/Port-Orange/32127/6335,78.6,88.2,85.6,0.09,68.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,SE
Florida,Port Richey,34668,238,https://www.homedepot.com/l/Port-Richey/FL/Port-Richey/34668/238,79.3,90.3,86.1,0.07,67.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Port St Lucie-South,34953,6934,https://www.homedepot.com/l/Port-St-Lucie-South/FL/Port-Saint-Lucie/34953/6934,79.5,87.4,85.2,0.16,75.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Punta Gorda,33950,6950,https://www.homedepot.com/l/Punta-Gorda/FL/Punta-Gorda/33950/6950,75.6,92.8,86.9,0.15,69.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Regency Sq,32225,272,https://www.homedepot.com/l/Regency-Sq/FL/Jacksonville/32225/272,81.3,90.9,88.3,0.0,63.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Riverview,33578,6380,https://www.homedepot.com/l/Riverview/FL/Riverview/33578/6380,78.6,91.8,87.0,0.01,67.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Royal Palm,33414,6379,https://www.homedepot.com/l/Royal-Palm/FL/West-Palm-Beach/33414/6379,82.0,91.6,89.2,0.06,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,S Cape Coral,33914,6975,https://www.homedepot.com/l/S-Cape-Coral/FL/Cape-Coral/33914/6975,78.6,92.5,87.5,0.1,65.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,SE
Florida,S Lakeland,33813,6324,https://www.homedepot.com/l/S-Lakeland/FL/Lakeland/33813/6324,74.7,92.1,86.2,0.06,68.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Sarasota,34233,255,https://www.homedepot.com/l/Sarasota/FL/Sarasota/34233/255,79.0,89.8,85.6,0.49,69.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Florida,Sawgrass,33323,6329,https://www.homedepot.com/l/Sawgrass/FL/Sunrise/33323/6329,84.9,91.8,89.4,0.0,59.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Sebastian,32958,8545,https://www.homedepot.com/l/Sebastian/FL/Sebastian/32958/8545,79.7,85.8,84.1,0.17,76.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Sebring,33870,6340,https://www.homedepot.com/l/Sebring/FL/Sebring/33870/6340,74.3,88.9,84.8,0.44,76.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Florida,Seminole,33772,6304,https://www.homedepot.com/l/Seminole/FL/Seminole/33772/6304,82.8,90.0,87.1,0.12,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,South Chase,32837,6328,https://www.homedepot.com/l/South-Chase/FL/Orlando/32837/6328,79.7,95.4,89.7,0.0,58.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,South Naples,34112,6348,https://www.homedepot.com/l/South-Naples/FL/Naples/34112/6348,78.6,91.8,86.9,0.54,68.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,SE
Florida,Southland,32809,232,https://www.homedepot.com/l/Southland/FL/Orlando/32809/232,79.7,95.4,89.7,0.0,58.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
