State,City,Zipcode,Store Number,URL
California,Oroville,95965,8975,https://www.homedepot.com/l/Oroville/CA/Oroville/95965/8975
California,Otay Mesa,92154,1034,https://www.homedepot.com/l/Otay-Mesa/CA/San-Diego/92154/1034
California,Oxnard,93036,1040,https://www.homedepot.com/l/Oxnard/CA/Oxnard/93036/1040
California,Palm Springs,92264,8526,https://www.homedepot.com/l/Palm-Springs/CA/Palm-Springs/92264/8526
California,Palmdale,93551,638,https://www.homedepot.com/l/Palmdale/CA/Palmdale/93551/638
California,Panorama City,91402,6644,https://www.homedepot.com/l/Panorama-City/CA/Panorama-City/91402/6644
California,Paramount,90723,1037,https://www.homedepot.com/l/Paramount/CA/Paramount/90723/1037
California,Perris,92570,6875,https://www.homedepot.com/l/Perris/CA/Perris/92570/6875
California,Pittsburg,94565,644,https://www.homedepot.com/l/Pittsburg/CA/Pittsburg/94565/644
California,Placerville,95667,1085,https://www.homedepot.com/l/Placerville/CA/Placerville/95667/1085
California,Pleasanton,94588,629,https://www.homedepot.com/l/Pleasanton/CA/Pleasanton/94588/629
California,Pomona,91766,6645,https://www.homedepot.com/l/Pomona/CA/Pomona/91766/6645
California,Porterville,93257,1080,https://www.homedepot.com/l/Porterville/CA/Porterville/93257/1080
California,Poway,92064,8949,https://www.homedepot.com/l/Poway/CA/Poway/92064/8949
California,Power Inn,95826,6620,https://www.homedepot.com/l/Power-Inn/CA/Sacramento/95826/6620
California,Rancho Cordova,95742,652,https://www.homedepot.com/l/Rancho-Cordova/CA/Rancho-Cordova/95742/652
California,Rancho Cucamonga,91730,645,https://www.homedepot.com/l/Rancho-Cucamonga/CA/Rancho-Cucamonga/91730/645
California,Rancho Mirage,92270,667,https://www.homedepot.com/l/Rancho-Mirage/CA/Rancho-Mirage/92270/667
California,Red Bluff,96080,8492,https://www.homedepot.com/l/Red-Bluff/CA/Red-Bluff/96080/8492
California,Redding,96003,6682,https://www.homedepot.com/l/Redding/CA/Redding/96003/6682
California,Redlands,92374,1013,https://www.homedepot.com/l/Redlands/CA/Redlands/92374/1013
California,Rialto,92376,6683,https://www.homedepot.com/l/Rialto/CA/Rialto/92376/6683
California,Ridgecrest,93555,1089,https://www.homedepot.com/l/Ridgecrest/CA/Ridgecrest/93555/1089
California,Riverbank,95367,1842,https://www.homedepot.com/l/Riverbank/CA/Riverbank/95367/1842
California,Riverside,92504,6619,https://www.homedepot.com/l/Riverside/CA/Riverside/92504/6619
California,Rohnert Pk,94928,641,https://www.homedepot.com/l/Rohnert-Pk/CA/Rohnert-Park/94928/641
California,Roseville,95661,636,https://www.homedepot.com/l/Roseville/CA/Roseville/95661/636
California,S Corona,92881,6665,https://www.homedepot.com/l/S-Corona/CA/Corona/92881/6665
California,S Fontana,92337,1857,https://www.homedepot.com/l/S-Fontana/CA/Fontana/92337/1857
California,S Fresno,93727,1086,https://www.homedepot.com/l/S-Fresno/CA/Fresno/93727/1086
California,S San Bernardino,92408,610,https://www.homedepot.com/l/S-San-Bernardino/CA/San-Bernardino/92408/610
California,Salinas,93907,1843,https://www.homedepot.com/l/Salinas/CA/Salinas/93907/1843
California,San Bernardino,92405,683,https://www.homedepot.com/l/San-Bernardino/CA/San-Bernardino/92405/683
California,San Carlos,94070,628,https://www.homedepot.com/l/San-Carlos/CA/San-Carlos/94070/628
California,San Diego,c,designcenter,https://www.homedepot.com/c/designcenter
